"Project Id","Project name",Website,"Short description","Long description","Social impact","Start date","End date",Country,Region,Latitude,Longitude,"Linked Organisation IDs","Who we help tags","Support tags",Focus,Technology,"Creation date"
251,#CampusInwatch,,,"New aplication and new business modell",,,,,,,,368,,"Culture and arts, Education and skills, Finance and economy, Health and wellbeing, Neighbourhood regeneration, Participation and democracy, Science, Work and employment","Open hardware, Open knowledge","big data, Mobile and web apps, sensors and internet of things, Social networks and social media, Wearables and personal monitoring",1970-01-01
849,"3D hand sanitiser with VR",,,,,,,,,,,,,,,,2017-02-27
345,"3D Printing Academy",,,3357#sthash.uEWqIjJs.dpuf,,,,,,,,336,,"Education and skills, Neighbourhood regeneration, Participation and democracy, Science, Work and employment","Open hardware, Open knowledge","Crowdsourcing, crowdmapping and crowdfunding, Digital fabrication and 3D-printing, Online marketplaces and noticeboards, Open-source technologies, sensors and internet of things, Social networks and social media",1970-01-01
368,"3L ExArca  Cloud Computing Service",,,"Support creation and performance of different collaborative communities in virtual environment. Communities can be either social, professional, business or their combination",,,,,,,,453,,"Education and skills, Finance and economy, Participation and democracy, Science, Work and employment","Open knowledge, Open networks","Online marketplaces and noticeboards, Social networks and social media",1970-01-01
846,"5 Things that will make you a Good Student",,"we are a Writing company and our aim to motivate student In their life and learn new things about writing education","<p>Good students are not only students, but they are good persons as well; they are the leaders of tomorrow. The qualities of a good student indicate the great impact on their bright and successful future. The most important quality of a good student is to acquire academic skills. They have an ability to write effectively, communicate clearly and proficiently, read comprehensively, and speak fluently. Good students always organize their assignments and all stuff related to their studies, they finished their homework and tasks on time; they always try to keep themselves aware of all information related to their study. They never feel afraid or shy to ask something their teachers, parents, tutor. Good students have some extra qualities that keep them different from ordinary students.</p>
<p><strong><em>How to become a Good student?</em></strong></p>
<ol>
<li><strong><em><u> Always be organized and prepared</u></em></strong></li>
</ol>
<p>A good student always keeps them prepare and organize. They take everything serious which is related to their study and future. They have everything in a very organized way For instance; they prepare their school or college bags before leaving the home, they keep all stuff related to their work in that bags such as books, pens, folders, pencils, and everything else they need.</p>
<p>&nbsp;</p>
<ul>
<li><strong><em><u>Be attentive and focused</u></em></strong></li>
</ul>
<p>Being a good student it is very important to be more attentive and focused towards studies. Good students always pay full attention during lectures; they make notes that help them to understand lectures. While getting a lecture they always keep their ears open, keeps their eyes on the teacher to stay focused on the lecture. They always maintain a good and peaceful environment in the class; they never create distractions in the class</p>
<p>&nbsp;</p>
<ul>
<li><strong><em><u>Always ask questions and be motivated</u></em></strong></li>
</ul>
<p>Some students often face this problem that the feel afraid or embarrass to ask questions in the class, this thing creates ambiguity in their mind towards lecture and they couldn&rsquo;t give their best in exams. Good students ask a question immediately if they feel unclear about something, they always raise their hands politely to clear things in their mind. Good students always keep themselves motivated, this thing takes them to the next level which is close to success. It is very important to be motivated by the goals passion.</p>
<p>&nbsp;</p>
<ul>
<li><strong><em><u>Extra tuition and Essay writing service</u></em></strong></li>
</ul>
<p>For students, their studies are not limited to their schools, colleges and universities. They can get an outside help for their assignments and tasks. Many students cannot complete their assignments on time due to another workload so, they need some extra help which can help to complete their work on time. Nowadays, there are many things are available which make their work easier. <a href=""http://www.bestlawessays.co.uk/"">Law Essay writing service</a> is today&rsquo;s most famous service for students; foreign students get immense advantages from these services. And students who work part-time and older students who have their families are getting tremendous benefits from these services and outside tuitions.</p>
<ul>
<li><strong><em><u>Positive attitude and honesty</u></em></strong></li>
</ul>
<p>Attitude plays a vital role in the development of personality. Students must have a positive attitude that makes them a good student. Honesty is another thing which keeps them consistent, punctual, and responsible with their work. They have respect for their teacher, classmates and their future as well.</p>
<p>&nbsp;</p>
<p>To be a good student is not as easy as it sounds. A good student has to be punctual and responsible. They must have an ability to deal with any situation, their attitude must be inspiring for other, they always try to learn new things and enhance their skills and these qualities take them closer to success and make them good students.</p>",,2017-02-22,,"United Kingdom",London,51.5073219,-0.1276473,,"Best Essay Writing Service Provider, essay, Essay Writing, Essay Writing Assistance","Education and skills","Open knowledge",,2017-02-21
622,@ShrimpingIt,,,"The project is all about access for all to invent and construct their own digital devices, with a particular focus on those in high-school education and those in disadvantaged areas. We do this by curating projects which are ultra-cheap to produce (cost of access) and making the knowledge available to produce them and remix your own for free (access to knowledge).",,,,,,,,756,,"Education and skills","Open hardware, Open knowledge","Digital fabrication and 3D-printing, Open-source technologies, sensors and internet of things",1970-01-01
365,"A bio-hackerspace for the Greater Lausanne Area",,,"We're providing a different way of making biology, and helping non-specialists to learn it.",,,,,,,,685,,"Culture and arts, Education and skills, Energy and environment, Health and wellbeing, Neighbourhood regeneration, Science","Open data, Open hardware, Open knowledge, Open networks","Crowdsourcing, crowdmapping and crowdfunding, Digital fabrication and 3D-printing, Open-source technologies, Social networks and social media",1970-01-01
692,"A Community Guide for Seniors Online in Northern Ireland",,,"Greater skills, confidence and opportunities for older people to use digital technologies and increase digital literacy skills and knowledge; more information relevant to older people's social, political and economic rights; Older people better able to interact online.  This is evidenced by the number of users on the webite",,,,,,,,516,,"Education and skills, Health and wellbeing, Participation and democracy","Open knowledge","Online marketplaces and noticeboards, Social networks and social media",1970-01-01
424,"A Decision Support System to Manage mHealth-Based Type-2 Diabetes Treatment (mDiaSS)",,,"The combined mHealth system and mDSS will enable diabetes mellitus and prediabetes patients to make optimal decisions him or herself based on novel sensor diagnostics, data transfer principles, and an exchange of experience. An optimal trade-off selection between strict medical treatment rules and patient's well-being will enhance the quality of life and foster responsible decision making and behaviour of t2dm patients.",,,,,,,,213,,"Health and wellbeing, Science","Open knowledge, Open networks","sensors and internet of things, Social networks and social media, Wearables and personal monitoring",1970-01-01
42,"A Welsh Assembly Government consultation: Future Generations Bill via VocalEyes",,,"~ to enable every man, woman and child to easily engage in local decision making within the social & professional communities that are important and relevant to them.
~ to integrate with all modern forms of communication from the latest SmartPhone through to more traditional paper based mediums making local voting an intuitive part of everyday life for all sectors of society
~ to create sustainable employment opportunities through its VocalEyes Coordinator training programme. VocalEyes Coordinators will add capacity to any organisation implementing this transformative stakeholder engagement tool. These coordinators will gain the skills required to deliver the service both on & offline, to include training new users & administrators, support, facilitating group decision making events, community engagement, social media integration & other forms of marketing.
~ to provide a powerful and innovative web based digital platform, combining both online (digital) and offline (face-to-face) means.
~ to invigorate organisations, creating a culture of positivity and shared endeavour, of participative engagement and learning  thus improving motivation and communication within the organisation and also in its dealings with others.
~ to provide an open, transparent means for promoting vocalisation of ideas, and for deliberating, deciding, and progressing the best of these into meaningful actions which are supported across the organisation. Ideas can be generated at any level  top-down or bottom-up  so facilitating both consultation and empowerment.
",,,,,,,,"718, 861, 1127",,"Culture and arts, Education and skills, Energy and environment, Finance and economy, Health and wellbeing, Neighbourhood regeneration, Participation and democracy, Science, Work and employment","Open data, Open knowledge","big data, Crowdsourcing, crowdmapping and crowdfunding, Digital democracy tools, Mobile and web apps, Online learning and MOOCs, Online marketplaces and noticeboards, open data, Peer-to-peer networks, Social networks and social media",1970-01-01
