"Organisation ID","Organisation name",Website,"Short description","Long description",Country,Region,Latitude,Longitude,Address,"Organisation type","Organisation size","Start date","Linked project IDs",Tags,"Network tags",Created
336,"#3DPM (#3DPrinting Network Manchester)",,,,"United Kingdom",Bolton,53.577694,-2.4288873,"The Indoor Market, King Street, Farnworth,
BL4 7AZ","Grassroots organisation or community network","0-5 people",,345,,,1970-01-01
1179,"1 Million 1 Love",http://www.1million1love.org,,,Netherlands,Amsterdam,52.3745403,4.8979755,,"Social enterprise, charity, foundation or other non-profit","0-5 people",2016-01-01,,"advertising, e-culture, photography, photowall, social innovation",,1970-01-01
563,450,,,,France,Plouzane,48.3817165,-4.6212043,"115, rue Claude Chappe,
29280","For-profit business","6-10 people",,584,,,1970-01-01
505,"4D3 - Quattroditre",,,,Italy,Correggio,44.770561,10.7797829,"Via conventino,
42015","For-profit business","0-5 people",,551,,,1970-01-01
379,54Degrees,,,,Ireland,Sligo,54.2720696,-8.4751356,"Riverstown,
",,,,206,,,1970-01-01
699,"5th Dimension",,,,Egypt,Cairo,30.0488185,31.2436663,"28, Cornich El Nil, Sama Towers,
12311",,,,414,,,1970-01-01
596,65Hours,,,,"United Kingdom","Newcastle Upon Tyne",54.9770924,-1.6142058,"Monkseaton,
NE26 3AP","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
146,"8 Fablab Drome",,,,France,Crest,44.7282675,5.0236641,"rue Courre Commere,
26400",,"0-5 people",,,,"FabLab Network",1970-01-01
1022,8eurekatrip,,,,Spain,huesca,42.1382539,-0.40809,"calle miguel servet no 12,
22002",,,,,,,1970-01-01
756,@ShrimpingIt,,,,"United Kingdom",Morecambe,54.0681534,-2.8747897,"4 Gardner Road,
LA3 1RX","Grassroots organisation or community network","0-5 people",,622,,,1970-01-01
407,"Aalto University",,,,Finland,Espoo,60.2241869,24.6603626,"Lampomiehenkuja 2,
00076 AALTO",,,,382,,,1970-01-01
300,"Aberdeen City Council",,,,"United Kingdom",Aberdeen,57.1452452,-2.0913744,"Broad Street,
AB10 1AB",,,,636,,,1970-01-01
738,"Access Info Europe",,,,Spain,Madrid,40.4167047,-3.7035824," Cava de San Miguel 8, 4C,
28005","Academia/Research organisation","6-10 people",,"144, 366",,,1970-01-01
294,"Access Space Network",,,,"United Kingdom",Sheffield,53.3806626,-1.4702277,"Access Space, AVEC Building, 3-7 Sidney Street,,
S1 4RG","Social enterprise, charity, foundation or other non-profit","0-5 people",,320,,,1970-01-01
194,AccessArt,,,,"United Kingdom",Cambridge,52.2033051,0.124862,"6 West Street, Comberton,
CB23 7DS","Social enterprise, charity, foundation or other non-profit","0-5 people",,"1, 431",,,1970-01-01
295,"Accredited Online Colleges",,,,"United States","San Diego",32.7174209,-117.1627713,"San Diego,
92101","Academia/Research organisation",,,16,,,1970-01-01
353,Adeo,,,,France,Ronchin,50.6047965,3.0923988,"Rue sadi carnot,
",,,,,,,1970-01-01
278,adf,,,,France,Versailles,48.8035403,2.1266886,"Rue de Scaux,
78000",,,,,,,1970-01-01
840,"Advance technologies Hungary",,,,Hungary,Budapest,47.4983815,19.0404707,"Vaci utca 81.,
",,,,795,,,1970-01-01
516,"Advice NI",,,,"United Kingdom",Belfast,54.5969869,-5.9300991,"1 Rushfield Avenue,
BT7 3FP","Grassroots organisation or community network","26-50 people",,"236, 692",,,1970-01-01
952,"Aeon Biosystems",,,,"United Kingdom",Ryarsh,51.3134181,0.3948768,"Church Farm Barn Anexe,
ME19 5LB","Academia/Research organisation","0-5 people",,520,,,1970-01-01
1070,"Afdeling Buitengewone Zaken",,,,Netherlands,Rotterdam,51.9277981,4.4886233,"Voorhaven 19b,
3025HD","For-profit business","0-5 people",,,,,1970-01-01
847,"Afsnit I",,,,Denmark,Copenhagen,55.6867243,12.5700724,"Saxogade 92,
1620","Grassroots organisation or community network","0-5 people",,609,,,1970-01-01
405,"Age UK Cheshire",,,,"United Kingdom","Hartford, Northwich",53.2438398,-2.5476681,"314 Chester Road,
SK23 7EG","Social enterprise, charity, foundation or other non-profit","51-100 people",,,,,1970-01-01
833,"AGH-University of Science and Technology",,,,Poland,Krakow,50.0619474,19.9368564,"Al. Mickiewicza 30,
30-059","Academia/Research organisation","6-10 people",,179,,,1970-01-01
165,"Agility Innovation",,,,Switzerland,Locarno,46.1695112,8.7954217,"Via della Pace 20A,
6600","For-profit business","0-5 people",,,,,1970-01-01
417,"AGORA Collective",,,,Germany,Berlin,52.5170365,13.3888599,"Mittelweg 50,
12053","Grassroots organisation or community network","6-10 people",,573,,,1970-01-01
202,"Aguas de Alicante",,,,Spain,Alicante,38.353738,-0.4901845,"Alona 31,
3007","Government/Public Sector","101-500 people",,260,,,1970-01-01
410,"Ahref Foundation",,,,Italy,Trento,46.0664228,11.1257601,"vicolo Dallapiccola 12,
38122","Social enterprise, charity, foundation or other non-profit","11-25 people",,"412, 433",,,1970-01-01
1207,AIOTI,http://www.aioti.org,,,,,,,,"Academia/Research organisation",,,,,"internet of things, architecture",2016-11-22
176,"Alcaldia de Yopal",,,,Colombia,Yopal,5.3356662,-72.393693,"Palacio Municipal,
850001",,,,,,,1970-01-01
11,Alfamicro,,,,Portugal,Cascais,38.7224003,-9.3969091,"Alameda da Guia 192A,
2750-368","For-profit business","11-25 people",,"134, 718",,,1970-01-01
424,Alison.com,,,,Ireland,"Galway, Ireland",54.5931087,-5.8137445,"Level One Building, Galway Technology Park, Parkmore,
","Social enterprise, charity, foundation or other non-profit","26-50 people",,4,,,1970-01-01
1152,"Alla Giornata",,,,Italy,Cerignola,41.2648924,15.8997886,"Via Adamello, 2,
71042","For-profit business","0-5 people",,228,,,1970-01-01
